;Year;Engine HP;Engine Cylinders;Number of Doors;highway MPG;city mpg;Popularity;MSRP
BMWZ4 M;2007.5;330.0;6.0;2.0;22.5;15.0;3916.0;51250.0
BMWZ8;2002.0;394.0;8.0;2.0;19.0;12.0;3916.0;129833.33333333333
BMWi3;2016.25;170.0;0.0;4.0;109.75;135.0;3916.0;42700.0
BentleyArnage;2008.1;470.0;8.0;4.0;14.6;9.8;520.0;246890.0
BentleyAzure;2008.0;450.0;8.0;2.0;15.0;9.333333333333334;520.0;331656.6666666667
BentleyAzure T;2010.0;500.0;8.0;2.0;15.0;9.0;520.0;363000.0
BentleyBrooklands;2009.5;530.0;8.0;2.0;14.5;9.5;520.0;340990.0
BentleyContinental;2001.6666666666667;416.6666666666667;8.0;2.0;15.0;10.0;520.0;309596.6666666667
BentleyContinental Flying Spur;2012.0;552.0;12.0;4.0;18.666666666666668;11.0;520.0;183200.0
BentleyContinental Flying Spur Speed;2012.0;600.0;12.0;4.0;17.0;10.0;520.0;208600.0
BentleyContinental GT;2015.2631578947369;551.2631578947369;9.894736842105264;2.0;22.57894736842105;13.368421052631579;520.0;215978.94736842104
BentleyContinental GT Speed;2012.0;608.0;12.0;2.0;18.5;11.5;520.0;212350.0
BentleyContinental GT Speed Convertible;2014.0;626.0;12.0;2.0;20.0;12.0;520.0;238700.0
BentleyContinental GT3-R;2015.0;572.0;8.0;2.0;23.0;13.0;520.0;337000.0
BentleyContinental GTC;2013.3333333333333;537.0;10.0;2.0;21.666666666666668;12.666666666666666;520.0;207816.66666666666
BentleyContinental GTC Speed;2010.5;600.0;12.0;2.0;17.0;10.0;520.0;233750.0
BentleyContinental Supersports;2011.0;621.0;12.0;2.0;19.0;12.0;520.0;267000.0
BentleyContinental Supersports Convertible;2011.5;621.0;12.0;2.0;19.0;12.0;520.0;280400.0
BentleyFlying Spur;2015.2;569.6;10.4;4.0;21.6;12.8;520.0;206940.0
BentleyMulsanne;2015.25;511.25;8.0;4.0;18.0;11.0;520.0;310475.0
BentleySupersports Convertible ISR;2013.0;631.0;12.0;2.0;19.0;12.0;520.0;291900.0
BugattiVeyron 16.4;2008.3333333333333;1001.0;16.0;2.0;14.0;8.0;820.0;1757223.6666666667
BuickCascada;2016.6;200.0;4.0;2.0;27.0;20.0;155.0;35065.0
BuickCentury;2004.0;175.0;6.0;4.0;26.666666666666668;18.0;155.0;21696.666666666668
BuickElectra;1990.0;165.0;6.0;4.0;25.0;16.0;155.0;2000.0
BuickEnclave;2016.0;288.0;6.0;4.0;22.4;15.533333333333333;155.0;45054.666666666664
BuickEncore;2016.0714285714287;139.07142857142858;4.0;4.0;31.678571428571427;24.571428571428573;155.0;27877.5
BuickEnvision;2016.75;224.5;4.0;4.0;27.25;20.75;155.0;40617.5
BuickEstate Wagon;1990.0;140.0;8.0;4.0;22.0;15.0;155.0;2000.0
BuickLaCrosse;2015.9;293.3;5.8;4.0;29.05;19.2;155.0;37077.0
BuickLeSabre;2004.0;205.0;6.0;4.0;27.0;17.666666666666668;155.0;29050.0
BuickLucerne;2009.8095238095239;236.28571428571428;6.285714285714286;4.0;25.61904761904762;16.714285714285715;155.0;34554.04761904762
BuickPark Avenue;2004.0;222.5;6.0;4.0;26.333333333333332;17.0;155.0;37714.166666666664
BuickRainier;2006.0;285.6666666666667;6.0;4.0;19.833333333333332;14.0;155.0;32945.833333333336
BuickReatta;1990.5;167.5;6.0;2.0;25.0;16.0;155.0;2000.0
BuickRegal;2016.4117647058824;249.94117647058823;4.0;4.0;28.647058823529413;19.941176470588236;155.0;31872.058823529413
BuickRendezvous;2006.0;192.0;6.0;4.0;22.666666666666668;16.666666666666668;155.0;27127.5
BuickRiviera;1997.75;231.25;6.0;2.0;25.0;16.25;155.0;2133.5
BuickRoadmaster;1995.0;260.0;8.0;4.0;23.333333333333332;15.0;155.0;2044.6666666666667
BuickSkylark;1996.75;152.5;4.5;3.25;28.375;18.75;155.0;2000.0
BuickTerraza;2005.909090909091;210.36363636363637;6.0;4.0;22.272727272727273;15.636363636363637;155.0;30005.909090909092
BuickVerano;2015.857142857143;190.0;4.0;4.0;31.5;21.0;155.0;24694.64285714286
CadillacATS;2015.7692307692307;286.8974358974359;4.769230769230769;4.0;29.512820512820515;20.46153846153846;1624.0;42111.153846153844
CadillacATS Coupe;2015.8;296.6;4.857142857142857;2.0;29.4;20.34285714285714;1624.0;45772.142857142855
CadillacATS-V;2016.5;464.0;6.0;3.0;23.0;16.5;1624.0;61680.0
CadillacAllante;1992.0;231.66666666666666;8.0;2.0;20.0;13.666666666666666;1624.0;2197.3333333333335
CadillacBrougham;1990.75;155.0;8.0;4.0;22.5;15.0;1624.0;2000.0
CadillacCT6;2016.5;342.44444444444446;5.555555555555555;4.0;27.444444444444443;18.88888888888889;1624.0;66033.33333333333
CadillacCTS;2015.857142857143;314.0;5.0476190476190474;4.0;28.261904761904763;19.261904761904763;1624.0;56959.76190476191
CadillacCTS Coupe;2013.0;318.0;6.0;2.0;27.0;18.0;1624.0;44645.0
CadillacCTS Wagon;2012.909090909091;296.1818181818182;6.0;4.0;26.09090909090909;18.0;1624.0;45185.0
CadillacCTS-V;2015.6666666666667;612.0;8.0;4.0;20.333333333333332;14.0;1624.0;77863.33333333333
CadillacCTS-V Coupe;2014.0;556.0;8.0;2.0;19.0;14.0;1624.0;65571.66666666667
CadillacCTS-V Wagon;2013.0;556.0;8.0;4.0;19.0;14.0;1624.0;63343.333333333336
CadillacCatera;2000.0;200.0;6.0;4.0;22.75;16.0;1624.0;9428.75
CadillacDTS;2009.857142857143;278.64285714285717;8.0;4.0;22.857142857142858;15.0;1624.0;51683.21428571428
CadillacDeVille;2004.1;281.5;8.0;4.0;23.7;15.7;1624.0;48547.5
CadillacEldorado;2001.142857142857;289.2857142857143;8.0;2.0;25.0;15.428571428571429;1624.0;32237.714285714286
CadillacEscalade;2015.8;420.0;8.0;4.0;21.266666666666666;14.9;1624.0;81037.33333333333
CadillacEscalade ESV;2015.8;420.0;8.0;4.0;21.033333333333335;14.766666666666667;1624.0;84037.33333333333
CadillacEscalade EXT;2012.0;403.0;8.0;4.0;18.0;13.0;1624.0;66572.22222222222
CadillacEscalade Hybrid;2012.0;332.0;8.0;4.0;23.0;20.0;1624.0;80522.5
CadillacFleetwood;1995.0;260.0;8.0;4.0;23.333333333333332;15.0;1624.0;2052.6666666666665
CadillacSRX;2015.0;308.0;6.0;4.0;23.571428571428573;16.571428571428573;1624.0;45903.80952380953
CadillacSTS;2010.1;307.4;6.6;4.0;26.0;17.0;1624.0;53597.5
CadillacSTS-V;2008.0;469.0;8.0;4.0;19.0;12.666666666666666;1624.0;78526.66666666667
CadillacSeville;2002.8;285.0;8.0;4.0;24.8;16.0;1624.0;47452.8
CadillacSixty Special;1993.0;200.0;8.0;4.0;23.0;15.0;1624.0;2000.0
CadillacXLR;2007.7142857142858;320.0;8.0;2.0;24.0;15.0;1624.0;82502.85714285714
CadillacXLR-V;2008.0;443.0;8.0;2.0;21.25;13.75;1624.0;100373.75
CadillacXT5;2017.0;310.0;6.0;4.0;26.5;18.5;1624.0;50010.833333333336
CadillacXTS;2016.0;327.55555555555554;6.0;4.0;26.296296296296298;17.22222222222222;1624.0;58115.555555555555
ChevroletAstro;2004.0;190.0;6.0;3.0;17.666666666666668;13.0;1385.0;25105.0
ChevroletAstro Cargo;2004.0;190.0;6.0;3.0;19.0;14.333333333333334;1385.0;23791.666666666668
ChevroletAvalanche;2011.2;320.0;8.0;4.0;21.0;15.0;1385.0;42064.666666666664
ChevroletAveo;2010.0;107.66666666666667;4.0;4.0;34.666666666666664;27.0;1385.0;13843.333333333334
ChevroletBeretta;1995.0;140.83333333333334;4.666666666666667;2.0;29.666666666666668;19.833333333333332;1385.0;2000.0
ChevroletBlack Diamond Avalanche;2013.0;320.0;8.0;4.0;21.0;15.0;1385.0;41295.833333333336
ChevroletBlazer;2003.9285714285713;190.0;6.0;2.857142857142857;18.785714285714285;13.785714285714286;1385.0;24151.428571428572
ChevroletBolt EV;2017.0;200.0;;4.0;110.0;128.0;1385.0;38762.5
ChevroletC/K 1500 Series;1997.5357142857142;205.89285714285714;6.392857142857143;2.0357142857142856;19.107142857142858;14.321428571428571;1385.0;2902.035714285714
ChevroletC/K 2500 Series;1998.0;242.5;8.0;2.0;17.5;12.5;1385.0;3048.75
ChevroletCamaro;2015.969696969697;393.8484848484849;6.424242424242424;2.0;26.21212121212121;17.363636363636363;1385.0;38991.666666666664
ChevroletCaprice;1994.857142857143;225.71428571428572;8.0;4.0;23.714285714285715;15.571428571428571;1385.0;2000.0
ChevroletCaptiva Sport;2014.0;180.0;4.0;4.0;28.0;20.0;1385.0;26205.833333333332
ChevroletCavalier;2004.05;140.0;4.0;2.9;32.1;22.7;1385.0;15308.0
ChevroletCelebrity;1990.0;122.5;5.0;4.0;28.0;18.5;1385.0;2000.0
ChevroletChevy Van;1997.0;198.33333333333334;6.0;3.0;17.333333333333332;13.666666666666666;1385.0;2024.2222222222222
ChevroletCity Express;2016.0;131.0;4.0;4.0;26.0;24.0;1385.0;22810.0
ChevroletClassic;2004.5;140.0;4.0;4.0;31.0;22.0;1385.0;19597.5
ChevroletCobalt;2009.0;174.45454545454547;4.0;2.909090909090909;34.18181818181818;24.0;1385.0;17302.272727272728
ChevroletColorado;2014.462962962963;240.09259259259258;4.907407407407407;3.8518518518518516;24.77777777777778;18.01851851851852;1385.0;27664.722222222223
ChevroletCorsica;1995.0;120.0;4.0;4.0;28.5;21.5;1385.0;2000.0
ChevroletCorvette;2016.1;515.5;8.0;2.0;25.7;16.1;1385.0;71505.33333333333
ChevroletCorvette Stingray;2014.0;455.0;8.0;2.0;29.0;17.0;1385.0;57500.0
ChevroletCruze;2015.96;147.4;4.0;4.0;39.32;27.68;1385.0;20469.4
ChevroletCruze Limited;2016.0;138.0;4.0;4.0;37.77777777777778;25.555555555555557;1385.0;20188.88888888889
ChevroletEquinox;2015.9130434782608;182.0;4.0;4.0;30.565217391304348;21.130434782608695;1385.0;27577.391304347828
ChevroletExpress;2015.0588235294117;287.94117647058823;8.0;3.0;16.647058823529413;11.235294117647058;1385.0;34804.117647058825
ChevroletExpress Cargo;2014.0;252.5;7.0;3.0;18.0;13.5;1385.0;30235.0
ChevroletHHR;2009.7857142857142;177.5;4.0;4.0;31.071428571428573;21.785714285714285;1385.0;20762.5
ChevroletImpala;2015.7222222222222;240.83333333333334;5.222222222222222;4.0;28.38888888888889;19.27777777777778;1385.0;33558.61111111111
ChevroletImpala Limited;2015.0;300.0;6.0;4.0;30.0;18.0;1385.0;27735.0
ChevroletLumina;1999.6;174.0;6.0;4.0;26.4;17.4;1385.0;5406.8
ChevroletLumina Minivan;1995.0;140.0;6.0;3.0;22.0;17.0;1385.0;2000.0
ChevroletMalibu;2015.8947368421052;196.42105263157896;4.0;4.0;36.0;27.263157894736842;1385.0;25704.736842105263
ChevroletMalibu Classic;2008.0;194.33333333333334;5.333333333333333;4.0;29.333333333333332;19.333333333333332;1385.0;19316.666666666668
ChevroletMalibu Hybrid;2009.0;164.0;4.0;4.0;33.333333333333336;25.333333333333332;1385.0;25040.0
ChevroletMalibu Limited;2016.0;197.0;4.0;4.0;34.0;24.0;1385.0;24346.25
ChevroletMalibu Maxx;2006.090909090909;212.1818181818182;6.0;4.0;27.09090909090909;18.636363636363637;1385.0;21954.090909090908
ChevroletMetro;1999.7142857142858;72.14285714285714;3.7142857142857144;2.857142857142857;38.285714285714285;31.428571428571427;1385.0;3502.1428571428573
ChevroletMonte Carlo;2006.0;232.1818181818182;6.363636363636363;2.0;27.363636363636363;18.0;1385.0;23868.636363636364
ChevroletPrizm;2001.0;125.0;4.0;4.0;36.0;27.0;1385.0;10872.166666666666
ChevroletS-10;2002.4571428571428;156.0;5.0285714285714285;2.657142857142857;21.37142857142857;16.0;1385.0;19452.02857142857
ChevroletS-10 Blazer;1993.1612903225807;163.8709677419355;6.0;2.967741935483871;20.64516129032258;15.32258064516129;1385.0;2000.0
ChevroletSS;2015.0;415.0;8.0;4.0;20.666666666666668;14.0;1385.0;45265.0
ChevroletSSR;2005.0;363.3333333333333;8.0;2.0;18.0;14.0;1385.0;41138.333333333336
ChevroletSilverado 1500;2015.9615384615386;310.12820512820514;6.717948717948718;3.4358974358974357;22.634615384615383;16.884615384615383;1385.0;38876.217948717946
ChevroletSilverado 1500 Classic;2007.0;273.7755102040816;7.591836734693878;3.510204081632653;18.612244897959183;13.89795918367347;1385.0;27336.73469387755
ChevroletSilverado 1500 Hybrid;2012.0;332.0;8.0;4.0;23.0;20.0;1385.0;44802.5
ChevroletSonic;2015.85;138.0;4.0;4.0;35.325;25.95;1385.0;18167.5
ChevroletSpark;2016.0;93.33333333333333;4.0;4.0;39.333333333333336;30.166666666666668;1385.0;14940.0
ChevroletSpark EV;2015.0;140.0;0.0;4.0;109.0;128.0;1385.0;25842.5
ChevroletSportvan;1994.25;179.5;7.0;3.0;16.0;12.25;1385.0;2000.0
ChevroletSuburban;2016.0;355.0;8.0;4.0;22.5;15.5;1385.0;57672.22222222222
ChevroletTahoe;2016.0;355.0;8.0;4.0;22.5;16.0;1385.0;54972.22222222222
ChevroletTahoe Hybrid;2012.0;332.0;8.0;4.0;23.0;20.0;1385.0;53647.5
ChevroletTahoe Limited/Z71;2000.0;255.0;8.0;4.0;15.5;11.5;1385.0;3439.0
ChevroletTracker;2002.857142857143;145.47619047619048;5.0476190476190474;3.4285714285714284;21.333333333333332;18.238095238095237;1385.0;19742.14285714286
ChevroletTrailBlazer;2008.0;321.46666666666664;6.666666666666667;4.0;18.733333333333334;13.4;1385.0;31843.0
ChevroletTrailBlazer EXT;2005.0;280.3333333333333;6.0;4.0;18.333333333333332;13.333333333333334;1385.0;30166.666666666668
ChevroletTraverse;2016.0384615384614;282.61538461538464;6.0;4.0;22.46153846153846;15.461538461538462;1385.0;36282.692307692305
ChevroletTrax;2015.909090909091;138.0;4.0;4.0;32.22727272727273;24.863636363636363;1385.0;23123.636363636364
ChevroletUplander;2006.8695652173913;224.52173913043478;6.0;4.0;22.91304347826087;15.956521739130435;1385.0;24609.565217391304
ChevroletVenture;2003.6363636363637;185.0;6.0;4.0;23.636363636363637;16.818181818181817;1385.0;26836.590909090908
Chrysler200;2016.1304347826087;217.7826086956522;4.608695652173913;4.0;33.73913043478261;21.47826086956522;1013.0;26582.17391304348
Chrysler300;2016.0666666666666;294.6666666666667;6.0;4.0;28.833333333333332;18.5;1013.0;38134.333333333336
Chrysler300M;2003.0;251.66666666666666;6.0;4.0;24.666666666666668;16.0;1013.0;30600.833333333332
ChryslerAspen;2008.142857142857;295.0;8.0;4.0;18.428571428571427;14.142857142857142;1013.0;35792.142857142855
ChryslerCirrus;1999.0;168.0;6.0;4.0;24.666666666666668;16.666666666666668;1013.0;2227.3333333333335
ChryslerConcorde;2003.0;228.0;6.0;4.0;25.333333333333332;17.333333333333332;1013.0;25935.0
ChryslerCrossfire;2006.6666666666667;234.16666666666666;6.0;2.0;22.833333333333332;15.0;1013.0;36849.583333333336
ChryslerGrand Voyager;2000.0;158.0;6.0;4.0;23.0;16.0;1013.0;2217.5
ChryslerImperial;1992.0;150.0;6.0;4.0;23.333333333333332;16.0;1013.0;2000.0
ChryslerLHS;2000.0;253.0;6.0;4.0;24.0;16.0;1013.0;10922.333333333334
ChryslerLe Baron;1993.4166666666667;130.91666666666666;5.5;2.6666666666666665;25.5;18.333333333333332;1013.0;2000.0
ChryslerNew Yorker;1995.0;214.0;6.0;4.0;24.0;16.0;1013.0;2000.0
ChryslerPT Cruiser;2008.625;157.5;4.0;3.75;24.75;19.5;1013.0;19908.125
ChryslerPacifica;2010.2941176470588;257.3529411764706;6.0;4.0;23.941176470588236;15.588235294117647;1013.0;31424.41176470588
ChryslerProwler;2001.5;253.0;6.0;2.0;21.0;15.5;1013.0;44625.0
ChryslerSebring;2008.9;187.35;4.7;3.1;28.5;19.4;1013.0;25975.75
ChryslerTC;1990.3333333333333;160.66666666666666;5.333333333333333;2.0;22.333333333333332;15.666666666666666;1013.0;2000.0
ChryslerTown and Country;2015.1764705882354;283.0;6.0;4.0;25.0;17.0;1013.0;35130.882352941175
ChryslerVoyager;2002.0;162.85714285714286;4.857142857142857;4.0;23.142857142857142;17.0;1013.0;20951.428571428572
DodgeAvenger;2012.9;217.0;4.8;4.0;29.7;19.9;1851.0;22825.0
DodgeCaliber;2010.6875;160.625;4.0;4.0;29.625;23.25;1851.0;18739.0625
DodgeCaravan;2006.0;167.77777777777777;5.333333333333333;4.0;24.0;17.0;1851.0;20480.555555555555
DodgeChallenger;2016.090909090909;425.7878787878788;7.636363636363637;2.0;24.12121212121212;15.242424242424242;1851.0;39230.454545454544
DodgeCharger;2016.0357142857142;401.42857142857144;7.142857142857143;4.0;26.607142857142858;16.571428571428573;1851.0;38835.71428571428
DodgeColt;1993.2;98.3;4.0;2.8;33.4;26.1;1851.0;2000.0
DodgeDakota;2008.7384615384615;217.07692307692307;6.153846153846154;4.0;19.06153846153846;14.661538461538461;1851.0;26955.30769230769
DodgeDart;2015.2857142857142;172.57142857142858;4.0;4.0;36.04761904761905;24.142857142857142;1851.0;20150.0
DodgeDaytona;1991.857142857143;137.64285714285714;4.428571428571429;2.0;26.714285714285715;18.928571428571427;1851.0;2000.0
DodgeDurango;2016.0714285714287;307.57142857142856;6.428571428571429;4.0;24.714285714285715;17.321428571428573;1851.0;39512.142857142855
DodgeDynasty;1992.0;120.5;5.0;4.0;24.666666666666668;18.166666666666668;1851.0;2000.0
DodgeGrand Caravan;2015.875;283.0;6.0;4.0;25.0;17.0;1851.0;27101.25
