descripcion	Year	Engine HP	Engine Cylinders	Number of Doors	highway MPG	city mpg	Popularity	MSRP
AudiCoupe	1990.5	164	5	2	22	15.5	3105	2000
AudiQ3	2016.142857142857	200	4	4	28.285714285714285	20	3105	36292.857142857145
AudiQ5	2015.85	244.1	5.2	4	28.4	21	3105	48255
AudiQ7	2015	281.6666666666667	6	4	25	17.8	3105	57373.333333333336
AudiR8	2014.76	506.4	9.36	2	21	12.64	3105	158819.6
AudiRS 4	2007.6666666666667	420	8	3.3333333333333335	19.666666666666668	12.666666666666666	3105	71603.33333333333
AudiRS 5	2014	450	8	2	22.666666666666668	16	3105	74066.66666666667
AudiRS 6	2003	450	8	4	20	14	3105	82700
AudiRS 7	2016	560	8	4	25.666666666666668	15.333333333333334	3105	108700
AudiS3	2016	292	4	4	30	22.333333333333332	3105	45091.666666666664
AudiS4	2015	333	6	4	27	17.5	3105	52150
AudiS5	2016.3333333333333	333	6	2	26.666666666666668	17.666666666666668	3105	58183.333333333336
AudiS6	2016.2	444	8	4	27	17.8	3105	73340
AudiS7	2016.25	442.5	8	4	27	17	3105	82050
AudiS8	2016	562.5	8	4	25.25	15.75	3105	115150
AudiSQ5	2016	354	6	4	24	17	3105	56850
AudiTT	2016	217	4	2	30.333333333333332	22.666666666666668	3105	43916.666666666664
AudiTT RS	2012.5	360	5	2	25	18	3105	57025
AudiTTS	2015.75	278.5	4	2	29	22.5	3105	51200
AudiV8	1993	276	8	4	18	13	3105	2129.3333333333335
Audiallroad	2014.875	220	4	4	27.625	20.625	3105	44675
Audiallroad quattro	2004.125	262.5	6.5	4	20.125	14.375	3105	41943.75
BMW1 Series	2012.25	267.5	6	2	27.625	18.75	3916	37853.125
BMW1 Series M	2011	335	6	2	26	19	3916	46135
BMW2 Series	2016.4705882352941	283.05882352941177	4.9411764705882355	2	32.705882352941174	21.823529411764707	3916	41697.05882352941
BMW3 Series	2015.9117647058824	230	4.411764705882353	4	35.73529411764706	24.676470588235293	3916	40897.05882352941
BMW3 Series Gran Turismo	2015.857142857143	269.7142857142857	4.857142857142857	4	31.857142857142858	21.285714285714285	3916	45250
BMW4 Series	2015.8620689655172	268.6896551724138	4.827586206896552	2	32.34482759	21.517241379310345	3916	48984.48275862069
BMW4 Series Gran Coupe	2015.857142857143	269.7142857142857	4.857142857142857	4	32.57142857142857	21.714285714285715	3916	44750
BMW5 Series	2015.5	310.125	6	4	31.5625	21.25	3916	58306.25
BMW5 Series Gran Turismo	2015.9	358	6.8	4	25.8	17.4	3916	65740
BMW6 Series	2016	380	7	2	27.083333333333332	18.166666666666668	3916	87933.33333333333
BMW6 Series Gran Coupe	2016	380	7	4	26.916666666666668	18	3916	86383.33333333333
BMW7 Series	2015.6875	390.9375	7.375	4	26.375	17.8125	3916	90662.5
BMW8 Series	1995.857142857143	312	10.285714285714286	2	19.285714285714285	12.714285714285714	3916	6583
BMWALPINA B6 Gran Coupe	2016	580	8	4	24	15.333333333333334	3916	120666.66666666667
BMWALPINA B7	2014.7777777777778	546.6666666666666	8	4	24.444444444444443	16	3916	132333.33333333334
BMWActiveHybrid 5	2015	335	6	4	30	23	3916	61800
BMWActiveHybrid 7	2014	345	6	4	30	22	3916	84300
BMWActiveHybrid X6	2010.5	480	8	4	19	17	3916	88900
BMWAlpina	2003	375	8	2	19	13	3916	136900
BMWM	2003.2	321	6	2	23	15	3916	47314
BMWM2	2016.5	365	6	2	26	18	3916	51700
BMWM3	2016	425	6	4	26	17	3916	63166.666666666664
BMWM4	2016	425	6	2	26	17	3916	69583.33333333333
BMWM4 GTS	2016	493	6	2	23	16	3916	133205
BMWM5	2015	557.3333333333334	8	4	20	14	3916	93533.33333333333
BMWM6	2016	557.3333333333334	8	2	20.333333333333332	14.166666666666666	3916	116150
BMWM6 Gran Coupe	2016	557.3333333333334	8	4	20	14	3916	116800
BMWX1	2015.8333333333333	244	4.333333333333333	4	31.333333333333332	21.666666666666668	3916	34383.333333333336
BMWX3	2016	240	4.5	4	29.083333333333332	22	3916	42237.5
BMWX4	2016	290.7142857142857	5.142857142857143	4	27	19.285714285714285	3916	49871.42857142857
BMWX5	2016	325	6.5	4	25.583333333333332	18.666666666666668	3916	60308.333333333336
BMWX5 M	2016	567	8	4	19	14	3916	98766.66666666667
BMWX6	2016	348.3333333333333	6.666666666666667	4	24	17.11111111111111	3916	66044.44444444444
BMWX6 M	2016	567	8	4	19	14	3916	102166.66666666667
BMWZ3	2001	202.66666666666666	6	2	25.22222222222222	18.11111111111111	3916	25358.666666666668
BMWZ4	2015	291.6666666666667	5.333333333333333	2	27.555555555555557	18.88888888888889	3916	57438.88888888889
BMWZ4 M	2007.5	330	6	2	22.5	15	3916	51250
BMWZ8	2002	394	8	2	19	12	3916	129833.33333333333
BMWi3	2016.25	170	0	4	109.75	135	3916	42700
BentleyArnage	2008.1	470	8	4	14.6	9.8	520	246890
BentleyAzure	2008	450	8	2	15	9.333333333333334	520	331656.6666666667
BentleyAzure T	2010	500	8	2	15	9	520	363000
BentleyBrooklands	2009.5	530	8	2	14.5	9.5	520	340990
BentleyContinental	2001.6666666666667	416.6666666666667	8	2	15	10	520	309596.6666666667
BentleyContinental Flying Spur	2012	552	12	4	18.666666666666668	11	520	183200
BentleyContinental Flying Spur Speed	2012	600	12	4	17	10	520	208600
BentleyContinental GT	2015.2631578947369	551.2631578947369	9.894736842105264	2	22.57894736842105	13.368421052631579	520	215978.94736842104
BentleyContinental GT Speed	2012	608	12	2	18.5	11.5	520	212350
BentleyContinental GT Speed Convertible	2014	626	12	2	20	12	520	238700
BentleyContinental GT3-R	2015	572	8	2	23	13	520	337000
BentleyContinental GTC	2013.3333333333333	537	10	2	21.666666666666668	12.666666666666666	520	207816.66666666666
BentleyContinental GTC Speed	2010.5	600	12	2	17	10	520	233750
BentleyContinental Supersports	2011	621	12	2	19	12	520	267000
BentleyContinental Supersports Convertible	2011.5	621	12	2	19	12	520	280400
BentleyFlying Spur	2015.2	569.6	10.4	4	21.6	12.8	520	206940
BentleyMulsanne	2015.25	511.25	8	4	18	11	520	310475
BentleySupersports Convertible ISR	2013	631	12	2	19	12	520	291900
BugattiVeyron 16.4	2008.3333333333333	1001	16	2	14	8	820	1757223.6666666667
BuickCascada	2016.6	200	4	2	27	20	155	35065
BuickCentury	2004	175	6	4	26.666666666666668	18	155	21696.666666666668
BuickElectra	1990	165	6	4	25	16	155	2000
BuickEnclave	2016	288	6	4	22.4	15.533333333333333	155	45054.666666666664
BuickEncore	2016.0714285714287	139.07142857142858	4	4	31.678571428571427	24.571428571428573	155	27877.5
BuickEnvision	2016.75	224.5	4	4	27.25	20.75	155	40617.5
BuickEstate Wagon	1990	140	8	4	22	15	155	2000
BuickLaCrosse	2015.9	293.3	5.8	4	29.05	19.2	155	37077
BuickLeSabre	2004	205	6	4	27	17.666666666666668	155	29050
BuickLucerne	2009.8095238095239	236.28571428571428	6.285714285714286	4	25.61904761904762	16.714285714285715	155	34554.04761904762
BuickPark Avenue	2004	222.5	6	4	26.333333333333332	17	155	37714.166666666664
BuickRainier	2006	285.6666666666667	6	4	19.833333333333332	14	155	32945.833333333336
BuickReatta	1990.5	167.5	6	2	25	16	155	2000
BuickRegal	2016.4117647058824	249.94117647058823	4	4	28.647058823529413	19.941176470588236	155	31872.058823529413
BuickRendezvous	2006	192	6	4	22.666666666666668	16.666666666666668	155	27127.5
BuickRiviera	1997.75	231.25	6	2	25	16.25	155	2133.5
BuickRoadmaster	1995	260	8	4	23.333333333333332	15	155	2044.6666666666667
BuickSkylark	1996.75	152.5	4.5	3.25	28.375	18.75	155	2000
BuickTerraza	2005.909090909091	210.36363636363637	6	4	22.272727272727273	15.636363636363637	155	30005.909090909092
BuickVerano	2015.857142857143	190	4	4	31.5	21	155	24694.64285714286
CadillacATS	2015.7692307692307	286.8974358974359	4.769230769230769	4	29.512820512820515	20.46153846153846	1624	42111.153846153844
CadillacATS Coupe	2015.8	296.6	4.857142857142857	2	29.4	20.34285714285714	1624	45772.142857142855
CadillacATS-V	2016.5	464	6	3	23	16.5	1624	61680
CadillacAllante	1992	231.66666666666666	8	2	20	13.666666666666666	1624	2197.3333333333335
CadillacBrougham	1990.75	155	8	4	22.5	15	1624	2000
CadillacCT6	2016.5	342.44444444444446	5.555555555555555	4	27.444444444444443	18.88888888888889	1624	66033.33333333333
CadillacCTS	2015.857142857143	314	5.0476190476190474	4	28.261904761904763	19.261904761904763	1624	56959.76190476191
CadillacCTS Coupe	2013	318	6	2	27	18	1624	44645
CadillacCTS Wagon	2012.909090909091	296.1818181818182	6	4	26.09090909090909	18	1624	45185
CadillacCTS-V	2015.6666666666667	612	8	4	20.333333333333332	14	1624	77863.33333333333
CadillacCTS-V Coupe	2014	556	8	2	19	14	1624	65571.66666666667
CadillacCTS-V Wagon	2013	556	8	4	19	14	1624	63343.333333333336
CadillacCatera	2000	200	6	4	22.75	16	1624	9428.75
CadillacDTS	2009.857142857143	278.64285714285717	8	4	22.857142857142858	15	1624	51683.21428571428
CadillacDeVille	2004.1	281.5	8	4	23.7	15.7	1624	48547.5
CadillacEldorado	2001.142857142857	289.2857142857143	8	2	25	15.428571428571429	1624	32237.714285714286
CadillacEscalade	2015.8	420	8	4	21.266666666666666	14.9	1624	81037.33333333333
CadillacEscalade ESV	2015.8	420	8	4	21.033333333333335	14.766666666666667	1624	84037.33333333333
CadillacEscalade EXT	2012	403	8	4	18	13	1624	66572.22222222222
CadillacEscalade Hybrid	2012	332	8	4	23	20	1624	80522.5
CadillacFleetwood	1995	260	8	4	23.333333333333332	15	1624	2052.6666666666665
CadillacSRX	2015	308	6	4	23.571428571428573	16.571428571428573	1624	45903.80952380953
CadillacSTS	2010.1	307.4	6.6	4	26	17	1624	53597.5
CadillacSTS-V	2008	469	8	4	19	12.666666666666666	1624	78526.66666666667
CadillacSeville	2002.8	285	8	4	24.8	16	1624	47452.8
CadillacSixty Special	1993	200	8	4	23	15	1624	2000
CadillacXLR	2007.7142857142858	320	8	2	24	15	1624	82502.85714285714
CadillacXLR-V	2008	443	8	2	21.25	13.75	1624	100373.75
CadillacXT5	2017	310	6	4	26.5	18.5	1624	50010.833333333336
CadillacXTS	2016	327.55555555555554	6	4	26.296296296296298	17.22222222222222	1624	58115.555555555555
ChevroletAstro	2004	190	6	3	17.666666666666668	13	1385	25105
ChevroletAstro Cargo	2004	190	6	3	19	14.333333333333334	1385	23791.666666666668
ChevroletAvalanche	2011.2	320	8	4	21	15	1385	42064.666666666664
ChevroletAveo	2010	107.66666666666667	4	4	34.666666666666664	27	1385	13843.333333333334
ChevroletBeretta	1995	140.83333333333334	4.666666666666667	2	29.666666666666668	19.833333333333332	1385	2000
ChevroletBlack Diamond Avalanche	2013	320	8	4	21	15	1385	41295.833333333336
ChevroletBlazer	2003.9285714285713	190	6	2.857142857142857	18.785714285714285	13.785714285714286	1385	24151.428571428572
ChevroletBolt EV	2017	200		4	110	128	1385	38762.5
ChevroletC/K 1500 Series	1997.5357142857142	205.89285714285714	6.392857142857143	2.0357142857142856	19.107142857142858	14.321428571428571	1385	2902.035714285714
ChevroletC/K 2500 Series	1998	242.5	8	2	17.5	12.5	1385	3048.75
ChevroletCamaro	2015.969696969697	393.8484848484849	6.424242424242424	2	26.21212121212121	17.363636363636363	1385	38991.666666666664
ChevroletCaprice	1994.857142857143	225.71428571428572	8	4	23.714285714285715	15.571428571428571	1385	2000
ChevroletCaptiva Sport	2014	180	4	4	28	20	1385	26205.833333333332
ChevroletCavalier	2004.05	140	4	2.9	32.1	22.7	1385	15308
ChevroletCelebrity	1990	122.5	5	4	28	18.5	1385	2000
ChevroletChevy Van	1997	198.33333333333334	6	3	17.333333333333332	13.666666666666666	1385	2024.2222222222222
ChevroletCity Express	2016	131	4	4	26	24	1385	22810
ChevroletClassic	2004.5	140	4	4	31	22	1385	19597.5
ChevroletCobalt	2009	174.45454545454547	4	2.909090909090909	34.18181818181818	24	1385	17302.272727272728
ChevroletColorado	2014.462962962963	240.09259259259258	4.907407407407407	3.8518518518518516	24.77777777777778	18.01851851851852	1385	27664.722222222223
ChevroletCorsica	1995	120	4	4	28.5	21.5	1385	2000
ChevroletCorvette	2016.1	515.5	8	2	25.7	16.1	1385	71505.33333333333
ChevroletCorvette Stingray	2014	455	8	2	29	17	1385	57500
ChevroletCruze	2015.96	147.4	4	4	39.32	27.68	1385	20469.4
ChevroletCruze Limited	2016	138	4	4	37.77777777777778	25.555555555555557	1385	20188.88888888889
ChevroletEquinox	2015.9130434782608	182	4	4	30.565217391304348	21.130434782608695	1385	27577.391304347828
ChevroletExpress	2015.0588235294117	287.94117647058823	8	3	16.647058823529413	11.235294117647058	1385	34804.117647058825
ChevroletExpress Cargo	2014	252.5	7	3	18	13.5	1385	30235
ChevroletHHR	2009.7857142857142	177.5	4	4	31.071428571428573	21.785714285714285	1385	20762.5
ChevroletImpala	2015.7222222222222	240.83333333333334	5.222222222222222	4	28.38888888888889	19.27777777777778	1385	33558.61111111111
ChevroletImpala Limited	2015	300	6	4	30	18	1385	27735
ChevroletLumina	1999.6	174	6	4	26.4	17.4	1385	5406.8
ChevroletLumina Minivan	1995	140	6	3	22	17	1385	2000
ChevroletMalibu	2015.8947368421052	196.42105263157896	4	4	36	27.263157894736842	1385	25704.736842105263
ChevroletMalibu Classic	2008	194.33333333333334	5.333333333333333	4	29.333333333333332	19.333333333333332	1385	19316.666666666668
ChevroletMalibu Hybrid	2009	164	4	4	33.333333333333336	25.333333333333332	1385	25040
ChevroletMalibu Limited	2016	197	4	4	34	24	1385	24346.25
ChevroletMalibu Maxx	2006.090909090909	212.1818181818182	6	4	27.09090909090909	18.636363636363637	1385	21954.090909090908
ChevroletMetro	1999.7142857142858	72.14285714285714	3.7142857142857144	2.857142857142857	38.285714285714285	31.428571428571427	1385	3502.1428571428573
ChevroletMonte Carlo	2006	232.1818181818182	6.363636363636363	2	27.363636363636363	18	1385	23868.636363636364
ChevroletPrizm	2001	125	4	4	36	27	1385	10872.166666666666
ChevroletS-10	2002.4571428571428	156	5.0285714285714285	2.657142857142857	21.37142857142857	16	1385	19452.02857142857
ChevroletS-10 Blazer	1993.1612903225807	163.8709677419355	6	2.967741935483871	20.64516129032258	15.32258064516129	1385	2000
ChevroletSS	2015	415	8	4	20.666666666666668	14	1385	45265
ChevroletSSR	2005	363.3333333333333	8	2	18	14	1385	41138.333333333336
ChevroletSilverado 1500	2015.9615384615386	310.12820512820514	6.717948717948718	3.4358974358974357	22.634615384615383	16.884615384615383	1385	38876.217948717946
ChevroletSilverado 1500 Classic	2007	273.7755102040816	7.591836734693878	3.510204081632653	18.612244897959183	13.89795918367347	1385	27336.73469387755
ChevroletSilverado 1500 Hybrid	2012	332	8	4	23	20	1385	44802.5
ChevroletSonic	2015.85	138	4	4	35.325	25.95	1385	18167.5
ChevroletSpark	2016	93.33333333333333	4	4	39.333333333333336	30.166666666666668	1385	14940
ChevroletSpark EV	2015	140	0	4	109	128	1385	25842.5
ChevroletSportvan	1994.25	179.5	7	3	16	12.25	1385	2000
ChevroletSuburban	2016	355	8	4	22.5	15.5	1385	57672.22222222222
ChevroletTahoe	2016	355	8	4	22.5	16	1385	54972.22222222222
ChevroletTahoe Hybrid	2012	332	8	4	23	20	1385	53647.5
ChevroletTahoe Limited/Z71	2000	255	8	4	15.5	11.5	1385	3439
ChevroletTracker	2002.857142857143	145.47619047619048	5.0476190476190474	3.4285714285714284	21.333333333333332	18.238095238095237	1385	19742.14285714286
ChevroletTrailBlazer	2008	321.46666666666664	6.666666666666667	4	18.733333333333334	13.4	1385	31843
ChevroletTrailBlazer EXT	2005	280.3333333333333	6	4	18.333333333333332	13.333333333333334	1385	30166.666666666668
ChevroletTraverse	2016.0384615384614	282.61538461538464	6	4	22.46153846153846	15.461538461538462	1385	36282.692307692305
ChevroletTrax	2015.909090909091	138	4	4	32.22727272727273	24.863636363636363	1385	23123.636363636364
ChevroletUplander	2006.8695652173913	224.52173913043478	6	4	22.91304347826087	15.956521739130435	1385	24609.565217391304
ChevroletVenture	2003.6363636363637	185	6	4	23.636363636363637	16.818181818181817	1385	26836.590909090908
Chrysler200	2016.1304347826087	217.7826086956522	4.608695652173913	4	33.73913043478261	21.47826086956522	1013	26582.17391304348
Chrysler300	2016.0666666666666	294.6666666666667	6	4	28.833333333333332	18.5	1013	38134.333333333336
Chrysler300M	2003	251.66666666666666	6	4	24.666666666666668	16	1013	30600.833333333332
ChryslerAspen	2008.142857142857	295	8	4	18.428571428571427	14.142857142857142	1013	35792.142857142855
ChryslerCirrus	1999	168	6	4	24.666666666666668	16.666666666666668	1013	2227.3333333333335
ChryslerConcorde	2003	228	6	4	25.333333333333332	17.333333333333332	1013	25935
ChryslerCrossfire	2006.6666666666667	234.16666666666666	6	2	22.833333333333332	15	1013	36849.583333333336
ChryslerGrand Voyager	2000	158	6	4	23	16	1013	2217.5
ChryslerImperial	1992	150	6	4	23.333333333333332	16	1013	2000
ChryslerLHS	2000	253	6	4	24	16	1013	10922.333333333334
ChryslerLe Baron	1993.4166666666667	130.91666666666666	5.5	2.6666666666666665	25.5	18.333333333333332	1013	2000
ChryslerNew Yorker	1995	214	6	4	24	16	1013	2000
ChryslerPT Cruiser	2008.625	157.5	4	3.75	24.75	19.5	1013	19908.125
ChryslerPacifica	2010.2941176470588	257.3529411764706	6	4	23.941176470588236	15.588235294117647	1013	31424.41176470588
ChryslerProwler	2001.5	253	6	2	21	15.5	1013	44625
ChryslerSebring	2008.9	187.35	4.7	3.1	28.5	19.4	1013	25975.75
ChryslerTC	1990.3333333333333	160.66666666666666	5.333333333333333	2	22.333333333333332	15.666666666666666	1013	2000
ChryslerTown and Country	2015.1764705882354	283	6	4	25	17	1013	35130.882352941175
ChryslerVoyager	2002	162.85714285714286	4.857142857142857	4	23.142857142857142	17	1013	20951.428571428572
DodgeAvenger	2012.9	217	4.8	4	29.7	19.9	1851	22825
DodgeCaliber	2010.6875	160.625	4	4	29.625	23.25	1851	18739.0625
DodgeCaravan	2006	167.77777777777777	5.333333333333333	4	24	17	1851	20480.555555555555
DodgeChallenger	2016.090909090909	425.7878787878788	7.636363636363637	2	24.12121212121212	15.242424242424242	1851	39230.454545454544
DodgeCharger	2016.0357142857142	401.42857142857144	7.142857142857143	4	26.607142857142858	16.571428571428573	1851	38835.71428571428
DodgeColt	1993.2	98.3	4	2.8	33.4	26.1	1851	2000
DodgeDakota	2008.7384615384615	217.07692307692307	6.153846153846154	4	19.06153846153846	14.661538461538461	1851	26955.30769230769
DodgeDart	2015.2857142857142	172.57142857142858	4	4	36.04761904761905	24.142857142857142	1851	20150
DodgeDaytona	1991.857142857143	137.64285714285714	4.428571428571429	2	26.714285714285715	18.928571428571427	1851	2000
DodgeDurango	2016.0714285714287	307.57142857142856	6.428571428571429	4	24.714285714285715	17.321428571428573	1851	39512.142857142855
DodgeDynasty	1992	120.5	5	4	24.666666666666668	18.166666666666668	1851	2000
DodgeGrand Caravan	2015.875	283	6	4	25	17	1851	27101.25
DodgeIntrepid	2003	225	6	4	25.375	17.25	1851	23596.25
DodgeJourney	2015.967741935484	240.41935483870967	5.225806451612903	4	24.774193548387096	17.29032258064516	1851	28165.967741935485
DodgeMagnum	2007.0625	304.5625	7.125	4	22.3125	15.3125	1851	30826.875
DodgeMonaco	1991	150	6	4	24	15.666666666666666	1851	2000
DodgeNeon	2003.923076923077	155.07692307692307	4	4	30.53846153846154	23.153846153846153	1851	16448.846153846152
DodgeNitro	2010.25	226.66666666666666	6	4	21.25	15.666666666666666	1851	24705
DodgeOmni	1990	93	4	4	31	22	1851	2000
DodgeRAM 150	1992.05	183	6.8	2	16.05	11.95	1851	2002.275
DodgeRAM 250	1991.88	192.6	7.68	2	14.56	11.32	1851	2022.16
DodgeRam 50 Pickup	1991.6842105263158	121.63157894736842	4.421052631578948	2	21.263157894736842	16.57894736842105	1851	2000
DodgeRam Cargo	2002	195	6.8	3	15.133333333333333	12.733333333333333	1851	20806
DodgeRam Pickup 1500	2008.967741935484	309.6774193548387	7.709677419354839	3.225806451612903	18.258064516129032	13.370967741935484	1851	30622.822580645163
DodgeRam Van	1999.0833333333333	197.08333333333334	6.833333333333333	3	16.5	12.75	1851	2200.5833333333335
DodgeRam Wagon	2000.8	195	6.8	3	14.8	12	1851	14141.6
DodgeRamcharger	1992.090909090909	213.63636363636363	8	2	14.318181818181818	10.863636363636363	1851	2000
DodgeSRT Viper	2013.5	640	10	2	19	12	1851	102515
DodgeShadow	1992.6363636363637	106.9090909090909	4	2.727272727272727	28	21.181818181818183	1851	2000
DodgeSpirit	1993.75	100.5	4	4	26.5	20.25	1851	2000
DodgeStealth	1994.9	234	6	2	22.4	16.7	1851	2617.7
DodgeStratus	2004.5294117647059	181.52941176470588	5.294117647058823	3.2941176470588234	26.11764705882353	19.058823529411764	1851	21531.470588235294
DodgeViper	2016.0714285714287	645	10	2	20.285714285714285	12	1851	99709.28571428571
FIAT124 Spider	2017	160	4	2	35	26	819	26895
FIAT500	2015.8214285714287	116.07142857142857	4	2	36.57142857142857	29.25	819	20449.821428571428
FIAT500L	2015.8461538461538	160	4	4	31.846153846153847	23.846153846153847	819	22120.76923076923
FIAT500X	2016.4	177.33333333333334	4	4	30.533333333333335	21.933333333333334	819	24620.333333333332
FIAT500e	2016		0	2	104.66666666666667	121.33333333333333	819	31800
Ferrari360	2003.076923076923	401.9230769230769	8	2	15	10	2774	161978.53846153847
Ferrari456M	2002	442	12	2	14.5	9	2774	225027.5
Ferrari458 Italia	2014.125	570.75	8	2	17	13	2774	258059.875
Ferrari550	2001	485	12	2	12	8	2774	227170
Ferrari575M	2003	515	12	2	15.5	9	2774	221966.33333333334
Ferrari599	2010	621	12	2	15	11	2774	334449.2
Ferrari612 Scaglietti	2010	532	12	2	16	9	2774	313088
FerrariCalifornia	2013	473	8	2	19	13	2774	197406.66666666666
FerrariCalifornia T	2015	553	8	2	23	16	2774	198973
FerrariEnzo	2003	660	12	2	12	7	2774	643330
FerrariF12 Berlinetta	2014	731	12	2	16	11	2774	317257
FerrariF430	2007.923076923077	483	8	2	16	11	2774	205580.23076923078
FerrariFF	2014	651	12	2	16	11	2774	295000
FerrariSuperamerica	2005	532	12	2	15.5	9	2774	287625
FordAerostar	1996	142.25	6	3	20.75	14.75	5657	2000
FordAspire	1995.857142857143	63	4	2.857142857142857	38	29.857142857142858	5657	2000
FordBronco	1995	196.33333333333334	8	2	16.22222222222222	12.11111111111111	5657	2697
FordBronco II	1990	140	6	2	20	15.5	5657	2000
FordC-Max Hybrid	2016	188	4	4	37	42	5657	25653.333333333332
FordContour	1998.75	130.625	4.25	4	31	20.625	5657	2009.875
FordContour SVT	1999	198.33333333333334	6	4	26.333333333333332	17.333333333333332	5657	2764.6666666666665
FordCrown Victoria	2010	229	8	4	24	16	5657	29671.666666666668
FordE-150	1996.923076923077	183	6	3	16.23076923076923	12	5657	2077.076923076923
FordE-250	1996.8	195.8	6	3	15.4	11.8	5657	2018.7
FordE-Series Van	2013	235	8	3	16.444444444444443	12.666666666666666	5657	29893.61111111111
FordE-Series Wagon	2013	245	8	3	15.333333333333334	11.666666666666666	5657	33477.5
FordEdge	2015.9545454545455	257.72727272727275	4.363636363636363	4	27.954545454545453	19.545454545454547	5657	34236.818181818184
FordEscape	2016	175.27272727272728	4	4	30.2	22.333333333333332	5657	27458.666666666668
FordEscape Hybrid	2010	177	4	4	29	31.833333333333332	5657	32125
FordEscort	2002.2222222222222	125.55555555555556	4	2.4444444444444446	30.88888888888889	22.77777777777778	5657	13867.222222222223
FordExpedition	2016.4444444444443	365	6	4	20.416666666666668	15	5657	56883.36111111111
FordExplorer	2016.0434782608695	305.4347826086956	5.826086956521739	4	23.391304347826086	16.695652173913043	5657	38451.30434782609
FordExplorer Sport	2002.3333333333333	203	6	2	18.77777777777778	14.277777777777779	5657	24422.222222222223
FordExplorer Sport Trac	2008.8148148148148	243.40740740740742	6.814814814814815	4	19.555555555555557	13.592592592592593	5657	30261.11111111111
FordF-150	2016.031746031746	331.87301587301585	6.666666666666667	3.619047619047619	23.317460317460316	16.936507936507937	5657	40747.04761904762
FordF-150 Heritage	2004	210.7	6.6	2.8	18.2	13.9	5657	24145.75
FordF-150 SVT Lightning	1998	320	8	2	15	11.666666666666666	5657	5353
